Fiscal Year,Service,Department,Division,Position Number,Job Title,Total Salary
2019,General Government,Law,Administration ,M434-001,Office Manager/Law,86384
2019,General Government,Law,Administration ,M341-701,Public Records Access Officer,79223
2019,General Government,Mayor,Administration,M292-701,Assistant to Mayor,51250
2019,General Government,Mayor,Administration,M104-701,Chief Of Staff,73800
2019,General Government,Mayor,Administration,M293-701,Deputy Chief of Staff,63550
2019,General Government,Mayor,Administration,M301-702,Dir. of Constituency Services,63550
2019,General Government,Mayor,Administration,M886-701,Education Liaison,61500
2019,General Government,Mayor,Administration,M302-702,Executive Assistant to Mayor,51250
2019,General Government,Mayor,Administration,X230-001,Special Events Coordinator,37870
2019,General Government,Public Celebrations,Cambridge Arts Council,M516-701,Community Arts Administrator,50476
2019,General Government,Public Celebrations,Cambridge Arts Council,M030-701,Dir/Arts Council/Pub Cele,87283
2019,General Government,Public Celebrations,Cambridge Arts Council,M524-702,Dir/Marketing & PR  Arts,33466
2019,General Government,Public Celebrations,Cambridge Arts Council,M513-701,Dir/Public Arts Programm,71351
2019,General Government,Public Celebrations,Cambridge Arts Council,M514-701,Director of Art Conservation,43653
2019,General Government,Public Celebrations,Cambridge Arts Council,M597-701,Events Producer/CommArtsDir,66050
2019,General Government,Public Celebrations,Cambridge Arts Council,M515-701,Public Arts Administrator,51054
2019,Public Safety,Animal Commission,Administration,A209-701,Animal Control Officer,65346
2019,Public Safety,Animal Commission,Administration,A209-702,Animal Control Officer,30631
2019,Public Safety,Animal Commission,Administration,A209-703,Animal Control Officer,48233
2019,Public Safety,Animal Commission,Administration,A210-001,Animal Control Program Administrator,59291
2019,Public Safety,Animal Commission,Administration,M137-701,Dir/Animal Commission,99661
2019,Public Safety,Electrical,Administration,C098-001,Admin Asst/Electrical,57058
2019,Public Safety,Electrical,Administration,M078-001,Assistant City Electrician,103501
2019,Public Safety,Electrical,Administration,O015-701,City Electrician,143273
2019,Public Safety,Electrical,Administration,C626-002,Electrician,67516
2019,Public Safety,Electrical,Administration,C626-007,Electrician,67516
2019,Public Safety,Electrical,Administration,C626-008,Electrician,67516
2019,Public Safety,Electrical,Administration,C626-009,Electrician,67516
2019,Public Safety,Electrical,Administration,C626-010,Electrician,67516
2019,Public Safety,Electrical,Administration,C626-111,Electrician,67516
2019,Public Safety,Electrical,Administration,C626-112,Electrician,67516
2019,Public Safety,Electrical,Administration,C625-001,Electrician Coordinator,87812
2019,Public Safety,Electrical,Administration,C622-001,Electrician Coordinator/Tech S,87812
2019,Public Safety,Electrical,Administration,M092-701,Senior Electrical Manager,99054
2019,Public Safety,Emergency Communications,Communications Center,M368-701,Administrative Coordinator/ECD,64567
2019,Public Safety,Emergency Communications,Communications Center,M128-701,Asst.Dir. of Training & Admin.,116209
2019,Public Safety,Emergency Communications,Communications Center,M370-701,Chief of Operations /Emergenc,128872
2019,Public Safety,Emergency Communications,Communications Center,E374-001,Emerg Comm Supervisor,87349
2019,Public Safety,Emergency Communications,Communications Center,E374-002,Emerg Comm Supervisor,87349
2019,Public Safety,Emergency Communications,Communications Center,E374-003,Emerg Comm Supervisor,77891
2019,Public Safety,Emergency Communications,Communications Center,E374-004,Emerg Comm Supervisor,87649
2019,Public Safety,Emergency Communications,Communications Center,E374-005,Emerg Comm Supervisor,87349
2019,Public Safety,Emergency Communications,Communications Center,E374-006,Emerg Comm Supervisor,87349
2019,Public Safety,Emergency Communications,Communications Center,E374-007,Emerg Comm Supervisor,87349
2019,Public Safety,Emergency Communications,Communications Center,M036-701,Emergency Communicat Dir,163353
2019,Public Safety,Emergency Communications,Communications Center,C508-001,Emergency Telecom Dispatcher,67576
2019,Public Safety,Emergency Communications,Communications Center,C508-002,Emergency Telecom Dispatcher,56082
2019,Public Safety,Emergency Communications,Communications Center,C508-003,Emergency Telecom Dispatcher,62471
2019,Public Safety,Emergency Communications,Communications Center,C508-004,Emergency Telecom Dispatcher,67826
2019,Public Safety,Emergency Communications,Communications Center,C508-005,Emergency Telecom Dispatcher,67826
2019,Public Safety,Emergency Communications,Communications Center,C508-006,Emergency Telecom Dispatcher,68126
2019,Public Safety,Emergency Communications,Communications Center,C508-007,Emergency Telecom Dispatcher,67576
2019,Public Safety,Emergency Communications,Communications Center,C508-008,Emergency Telecom Dispatcher,62691
2019,Public Safety,Emergency Communications,Communications Center,C508-009,Emergency Telecom Dispatcher,67826
2019,Public Safety,Emergency Communications,Communications Center,C508-010,Emergency Telecom Dispatcher,67826
2019,Public Safety,Emergency Communications,Communications Center,C508-011,Emergency Telecom Dispatcher,67826
2019,Public Safety,Emergency Communications,Communications Center,C508-012,Emergency Telecom Dispatcher,67826
2019,Public Safety,Emergency Communications,Communications Center,C508-013,Emergency Telecom Dispatcher,67826
2019,Public Safety,Emergency Communications,Communications Center,C508-015,Emergency Telecom Dispatcher,57450
2019,Public Safety,Emergency Communications,Communications Center,C508-016,Emergency Telecom Dispatcher,67826
2019,Public Safety,Emergency Communications,Communications Center,C508-017,Emergency Telecom Dispatcher,67826
2019,Public Safety,Emergency Communications,Communications Center,C508-018,Emergency Telecom Dispatcher,67826
2019,Public Safety,Emergency Communications,Communications Center,C508-020,Emergency Telecom Dispatcher,67576
2019,Public Safety,Emergency Communications,Communications Center,C508-021,Emergency Telecom Dispatcher,67826
2019,Public Safety,Emergency Communications,Communications Center,C508-022,Emergency Telecom Dispatcher,68126
2019,Public Safety,Emergency Communications,Communications Center,C508-023,Emergency Telecom Dispatcher,67826
2019,Public Safety,Emergency Communications,Communications Center,C508-025,Emergency Telecom Dispatcher,67826
2019,Public Safety,Emergency Communications,Communications Center,C508-029,Emergency Telecom Dispatcher,67576
2019,Public Safety,Emergency Communications,Communications Center,C508-032,Emergency Telecom Dispatcher,67826
2019,Public Safety,Emergency Communications,Communications Center,C508-033,Emergency Telecom Dispatcher,67576
2019,Public Safety,Emergency Communications,Communications Center,C508-034,Emergency Telecom Dispatcher,53301
2019,Public Safety,Emergency Communications,Communications Center,C508-035,Emergency Telecom Dispatcher,57450
2019,Public Safety,Emergency Communications,Communications Center,c508-037,Emergency Telecom Dispatcher,50858
2019,Public Safety,Emergency Communications,Communications Center,C507-002,Fire Alarm Operator,67576
2019,Public Safety,Emergency Communications,Public Safety IT,M369-701,Application & Database Manager,118109
2019,Public Safety,Emergency Communications,Public Safety IT,M129-701,Asst. Dir. of Public Safety IT,137660
2019,Public Safety,Emergency Communications,Public Safety IT,M142-702,Enterprise Applications Specia,109328
2019,Public Safety,Emergency Communications,Public Safety IT,M322-701,Infrastructure Manager,118102
2019,Public Safety,Emergency Communications,Public Safety IT,M317-701,Mgr of Public Safety Tech.Supp,109328
2019,Public Safety,Emergency Communications,Public Safety IT,M127-701,Public Safety Tech.Sup.Spec.,80909
2019,Public Safety,Emergency Communications,Public Safety IT,M127-702,Public Safety Tech.Sup.Spec.,81434
2019,Public Safety,Police,Patrol,P465-094,Police Officer,91565
2019,Public Safety,Emergency Communications,Public Safety IT,M319-701,Radio Telecomm/Sr. Sys. Admin.,109321
2019,Public Safety,Emergency Communications,Public Safety IT,M324-701,Radio Telecommunications Mgr.,118102
2019,Public Safety,Emergency Communications,Public Safety IT,M320-703,"System Administrator, Level 1",93556
2019,Public Safety,Emergency Communications,Public Safety IT,M323-701,Technical Support Specialist,87894
2019,Public Safety,Fire,Headquarters & Fire Stations,C120-001,Admin Asst/Emerg Management,52019
2019,Public Safety,Fire,Headquarters & Fire Stations,M016-702,Admin Asst/Fire Dept,64203
2019,Public Safety,Fire,Headquarters & Fire Stations,M520-001,Admin Officer/Fire,186934
2019,Public Safety,Fire,Headquarters & Fire Stations,M520-002,Admin Officer/Fire,186934
2019,Public Safety,Fire,Headquarters & Fire Stations,M175-008,Budget Analyst,59748
2019,Public Safety,Fire,Headquarters & Fire Stations,R504-001,Fire Apparatus Repair,73585
2019,Public Safety,Fire,Headquarters & Fire Stations,R504-002,Fire Apparatus Repair,73585
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-001,Fire Captain,100539
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-002,Fire Captain,100093
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-003,Fire Captain,100837
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-004,Fire Captain,101253
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-006,Fire Captain,101208
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-007,Fire Captain,101208
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-008,Fire Captain,100871
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-008,Fire Captain,100871
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-012,Fire Captain,101208
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-013,Fire Captain,101253
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-014,Fire Captain,100279
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-016,Fire Captain,100794
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-017,Fire Captain,100093
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-018,Fire Captain,100794
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-019,Fire Captain,101253
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-020,Fire Captain,101208
2019,Public Safety,Fire,Headquarters & Fire Stations,F503-021,Fire Captain,101253
2019,Public Safety,Fire,Headquarters & Fire Stations,O501-001,Fire Chief,220554
